host_time,elapsed_s,latency_s,uptime_ms
1789247342.635,5209.7,0.0164,5379473
1789247352.638,5219.7,0.0072,5389478
1789247362.642,5229.7,0.0164,5399485
1789247372.643,5239.7,0.0061,5409488
1789247382.648,5249.7,0.0066,5419495
1789247392.653,5259.7,0.0158,5429502
1789247402.654,5269.7,0.0165,5439505
1789247412.655,5279.7,0.0100,5449508
1789247422.656,5289.7,0.0133,5459511
1789247432.661,5299.7,0.0155,5469518
1789247442.664,5309.7,0.0075,5479523
1789247452.665,5319.7,0.0127,5489526
1789247462.669,5329.8,0.0103,5499533
1789247472.671,5339.8,0.0158,5509537
1789247482.674,5349.8,0.0147,5519542
1789247492.679,5359.8,0.0128,5529549
1789247502.680,5369.8,0.0148,5539552
1789247512.682,5379.8,0.0176,5549556
1789247522.683,5389.8,0.0123,5559560
1789247532.688,5399.8,0.0082,5569567
1789247542.689,5409.8,0.0123,5579570
1789247552.691,5419.8,0.0104,5589574
1789247562.694,5429.8,0.0175,5599579
1789247572.699,5439.8,0.0062,5609586
1789247582.704,5449.8,0.0116,5619593
1789247592.705,5459.8,0.0156,5629595
1789247602.710,5469.8,0.0145,5639603
1789247612.711,5479.8,0.0194,5649607
1789247622.717,5489.8,0.0124,5659614
1789247632.722,5499.8,0.0107,5669621
1789247642.724,5509.8,0.0105,5679626
1789247652.729,5519.8,0.0122,5689633
1789247662.735,5529.8,0.0080,5699640
1789247672.739,5539.8,0.0178,5709647
1789247682.743,5549.8,0.0068,5719652
1789247692.745,5559.8,0.0105,5729657
1789247702.746,5569.8,0.0104,5739660
1789247712.751,5579.8,0.0107,5749668
1789247722.756,5589.8,0.0108,5759674
1789247732.759,5599.8,0.0069,5769679
1789247742.764,5609.8,0.0107,5779686
1789247752.765,5619.8,0.0058,5789690
1789247762.768,5629.9,0.0106,5799695
1789247772.772,5639.9,0.0167,5809701
1789247782.776,5649.9,0.0120,5819707
1789247792.777,5659.9,0.0059,5829710
1789247802.779,5669.9,0.0136,5839714
1789247812.782,5679.9,0.0060,5849720
1789247822.783,5689.9,0.0109,5859722
1789247832.785,5699.9,0.0116,5869726
1789247842.786,5709.9,0.0175,5879730
1789247852.791,5719.9,0.0114,5889737
1789247862.796,5729.9,0.0142,5899744
1789247872.800,5739.9,0.0098,5909750
1789247882.801,5749.9,,
1789247892.803,5759.9,0.0145,5929758
1789247902.808,5769.9,0.0062,5939764
1789247912.809,5779.9,0.0099,5949768
1789247922.811,5789.9,0.0158,5959772
1789247932.815,5799.9,0.0104,5969778
1789247942.820,5809.9,0.0085,5979785
1789247952.823,5819.9,0.0120,5989790
1789247962.828,5829.9,0.0091,5999797
1789247972.829,5839.9,0.0158,6009800
1789247982.834,5849.9,0.0112,6019808
1789247992.836,5859.9,0.0159,6029811
1789248002.840,5869.9,0.0104,6039817
1789248012.843,5879.9,0.0087,6049822
1789248022.847,5889.9,0.0085,6059828
1789248032.851,5899.9,0.0063,6069835
1789248042.852,5909.9,0.0089,6079838
1789248052.857,5919.9,0.0073,6089845
1789248062.858,5929.9,0.0059,6099848
1789248072.860,5939.9,0.0073,6109853
1789248082.865,5949.9,0.0122,6119859
1789248092.867,5959.9,0.0106,6129863
1789248102.868,5970.0,0.0120,6139866
1789248112.872,5980.0,0.0134,6149872
1789248122.874,5990.0,0.0128,6159877
1789248132.874,6000.0,0.0150,6169880
1789248142.874,6010.0,0.0076,6179885
1789248152.874,6020.0,0.0102,6189889
1789248162.874,6030.0,0.0087,6199892
1789248172.877,6040.0,0.0141,6209898
1789248182.882,6050.0,0.0058,6219905
1789248192.887,6060.0,0.0119,6229912
1789248202.889,6070.0,0.0097,6239916
1789248212.894,6080.0,0.0177,6249923
1789248222.894,6090.0,0.0156,6259926
1789248232.898,6100.0,0.0119,6269932
1789248242.903,6110.0,0.0116,6279939
1789248252.906,6120.0,0.0106,6289945
1789248262.907,6130.0,0.0120,6299948
1789248272.910,6140.0,0.0077,6309952
1789248282.914,6150.0,0.0066,6319959
1789248292.918,6160.0,0.0148,6329965
1789248302.921,6170.0,0.0179,6339970
1789248312.926,6180.0,0.0107,6349978
1789248322.931,6190.0,0.0089,6359984
1789248332.931,6200.0,0.0140,6369986
1789248342.933,6210.0,0.0076,6379990
1789248352.935,6220.0,0.0129,6389994
1789248362.935,6230.0,0.0078,6399997
1789248372.940,6240.0,0.0121,6410003
1789248382.945,6250.0,0.0120,6420010
1789248392.948,6260.0,0.0130,6430016
1789248402.952,6270.0,0.0062,6440022
1789248412.952,6280.0,,
1789248422.958,6290.0,0.0116,6460032
1789248432.963,6300.0,0.0121,6470039
1789248442.967,6310.1,0.0147,6480046
1789248452.972,6320.1,0.0110,6490053
1789248462.974,6330.1,0.0163,6500056
1789248472.974,6340.1,0.0123,6510059
1789248482.975,6350.1,0.0076,6520062
1789248492.977,6360.1,0.0120,6530066
1789248502.982,6370.1,0.0147,6540074
1789248512.987,6380.1,0.0129,6550081
1789248522.988,6390.1,0.0094,6560083
1789248532.992,6400.1,0.0130,6570090
1789248542.997,6410.1,0.0108,6580097
1789248552.999,6420.1,0.0129,6590101
1789248563.004,6430.1,0.0151,6600108
1789248573.009,6440.1,0.0127,6610115
1789248583.014,6450.1,0.0070,6620122
1789248593.019,6460.1,0.0158,6630130
1789248603.024,6470.1,0.0065,6640137
1789248613.028,6480.1,0.0118,6650143
1789248623.033,6490.1,0.0074,6660150
1789248633.038,6500.1,0.0097,6670157
1789248643.041,6510.1,0.0105,6680162
1789248653.042,6520.1,0.0108,6690165
1789248663.046,6530.1,0.0105,6700171
1789248673.048,6540.1,0.0120,6710175
1789248683.053,6550.1,0.0121,6720183
1789248693.057,6560.1,0.0094,6730189
1789248703.058,6570.1,0.0151,6740192
1789248713.059,6580.1,0.0120,6750195
1789248723.063,6590.1,0.0156,6760201
1789248733.066,6600.1,0.0105,6770207
1789248743.072,6610.2,0.0172,6780214
1789248753.076,6620.2,0.0111,6790220
1789248763.080,6630.2,0.0099,6800227
1789248773.081,6640.2,0.0118,6810230
1789248783.086,6650.2,0.0164,6820237
1789248793.090,6660.2,0.0059,6830243
1789248803.095,6670.2,0.0081,6840250
1789248813.098,6680.2,,
1789248823.099,6690.2,0.0156,6860259
1789248833.105,6700.2,0.0121,6870266
